Gene_name	interaction_scores	phylogenetic_scores	motif_score	pa_score	single_cell_score	total_score_sums	total_score_weighted
A1BG	0.482676605710271	0	0	0	0	0.482676605710271	0.307027748523693
A1CF	0	0	0.454708584546035	0	0	0.454708584546035	0.0478122361577363
A2M	0.332254385681664	0	0	0	0	0.332254385681664	0.211345059541164
A2ML1	0.4836906989694	0	0	0	0	0.4836906989694	0.307672807278272
A2MP1	0	0	0	0	0	0	0
A3GALT2	0.590154461053472	0	0	0	0	0.590154461053472	0.375393779841121
A4GALT	0.56573518418104	0	0	0	0	0.56573518418104	0.359860821520743
A4GNT	0.584262298238309	0	0	0	0	0.584262298238309	0.371645809747538
A12M1	0	0	0	0	0	0	0
A12M2	0	0	0	0	0	0	0
A12M3	0	0	0	0	0	0	0
A12M4	0	0	0	0	0	0	0
AAAS	0.632577813019841	0	0	0.25	0.0700592395948173	0.952637052614658	0.484327324158375
AABT	0	0	0	0	0	0	0
AACS	0.361097691349197	0	0	0	0	0.361097691349197	0.229692116544376
AACSP1	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0
AADAT	0.370250378879721	0	0	0	0	0.370250378879721	0.235514087222451
AAGAB	0	0	0	0.5	0.0879588920206776	0.587958892020678	0.112310678476965
AAK1	0.524964063314277	0	0	0	0	0.524964063314277	0.333926551459965
AAMDC	0.544050310111794	0	0	0	0.105117233112099	0.649167543223893	0.4500283243807
AAMP	0.574409707586091	0	0	0.5	0.107904219009494	1.18231392659559	0.497415275854207
AANAT	0	0	0	0	0	0	0
AAR2	0.617922295559686	0	0	0	0	0.617922295559686	0.393056735967358
AARD	0.621344676043504	0	0	0	0	0.621344676043504	0.395233692053705
AARS1	0.590652363459953	0	0	0	0	0.590652363459953	0.375710492631917
AARS1P1	0	0	0	0	0	0	0
AARS2	0.315924798414721	0	0	1	0	1.31592479841472	0.25159627230627
AARSD1	0.67621758273607	0	0	1	0	1.67621758273607	0.480776392226805
AARSD1P1	0	0	0	0	0	0	0
AASDH	0.548601474311979	0	0	0	0	0.548601474311979	0.348962169498412
AASDHPPT	0.57245011984336	0	0	0	0.0931152187766997	0.66556533862006	0.456223263487753
AASS	0.547175227310366	0	0	0.5	0	1.04717522731037	0.373374125739701
AATBC	0	0	0	0	0	0	0
AATF	0.441310223008392	0	0	0	0	0.441310223008392	0.280714835912489
AATK	0.514274079110359	0	0	0	0	0.514274079110359	0.327126715414352
AAVS1	0	0	0	0	0	0	0
ABALON	0	0	0	0	0	0	0
ABAT	0.207518452021607	0	0	0.5	0	0.707518452021607	0.157320449729717
ABCA1	0.585851939331977	0	0	0	0	0.585851939331977	0.372656971092786
ABCA2	0.606382431629238	0	0	0	0	0.606382431629238	0.385716296428919
ABCA3	0.441045430849119	0	0	0.5	0	0.941045430849119	0.305865586744269
