Gene_name	is.ciliary
ABCC4	1
ABLIM1	1
ABLIM3	1
ACE2	1
ACTR2	1
ADAM17	1
ADAMTS20	1
ADAMTS9	1
ADCY3	1
ADCY5	1
ADCY6	1
ADGRV1	1
AGBL5	1
AGR3	1
AHI1	1
AIPL1	1
AK7	1
AK8	1
AKT1	1
ALMS1	1
ALPK1	1
ANAPC2	1
ANKRD26	1
ANKS3	1
ANKS6	1
ANO1	1
ANO2	1
ARF4	1
ARHGAP36	1
ARL13B	1
ARL2	1
ARL2BP	1
ARL3	1
ARL6	1
ARMC2	1
ODAD2	1
ARMC9	1
ASAP1	1
ATAT1	1
ATG3	1
ATG5	1
ATMIN	1
ATOH1	1
ATP4A	1
ATXN10	1
AURKA	1
B9D1	1
B9D2	1
BAG6	1
BBIP1	1
BBOF1	1
BBS1	1
BBS10	1
BBS12	1
BBS2	1
BBS4	1
BBS5	1
BBS7	1
BBS9	1
IFTAP	1
C2CD3	1
CFAP418	1
CACNA1C	1
CATIP	1
CAV1	1
CBY1	1
CC2D2A	1
CCDC103	1
ODAD1	1
CCDC13	1
ODAD3	1
CCDC181	1
CCDC28B	1
CCDC39	1
CCDC40	1
CCDC65	1
CCDC66	1
CCDC78	1
CCNO	1
CCP110	1
CCT2	1
CDC14A	1
CDC20	1
CDC20B	1
CDH23	1
CDK10	1
CDK20	1
CDKL5	1
CDKN1B	1
CELSR2	1
CELSR3	1
CENPF	1
CENPJ	1
CEP104	1
CEP120	1
CEP128	1
CEP131	1
CEP135	1
CEP162	1
CEP164	1
CEP170	1
CEP19	1
CEP250	1
CEP290	1
CEP350	1
CEP41	1
CEP68	1
CEP72	1
CEP78	1
CEP83	1
CEP89	1
CEP97	1
CETN2	1
CETN3	1
CFAP100	1
CFAP126	1
CFAP157	1
CFAP161	1
CFAP221	1
CFAP298	1
CFAP300	1
CFAP36	1
CFAP410	1
CFAP43	1
CFAP47	1
CFAP52	1
CFAP53	1
CFAP54	1
CFAP57	1
CFAP58	1
CFAP65	1
CFAP69	1
CFAP70	1
CHMP4B	1
CILK1	1
CIP2A	1
CLCN4	1
CLDN2	1
CLRN1	1
CLUAP1	1
CNGA1	1
CNGA2	1
CNGA4	1
CNGB1	1
CPLANE1	1
CPLANE2	1
CRB3	1
CRHR2	1
CROCC	1
CSNK1D	1
CSPP1	1
CTNNB1	1
CUL7	1
CYLD	1
CYS1	1
DAW1	1
DCDC2	1
DDX59	1
DIAPH1	1
DISC1	1
DLEC1	1
DNAAF1	1
DNAAF2	1
DNAAF3	1
DNAAF4	1
DNAAF5	1
DNAAF6	1
DNAH1	1
DNAH10	1
DNAH11	1
DNAH17	1
DNAH2	1
DNAH5	1
DNAH6	1
DNAH7	1
DNAH9	1
DNAI1	1
DNAI2	1
DNAJB13	1
DNAL1	1
DNALI1	1
DNMBP	1
DPCD	1
DPYSL2	1
DRC1	1
DRC3	1
DRC7	1
DRD1	1
DRD2	1
DRD5	1
DVL1	1
DYNC2H1	1
DYNC2LI1	1
DYNLL1	1
DYNLL2	1
DYNLRB1	1
DYNLRB2	1
DYNLT1	1
DZANK1	1
DZIP1	1
DZIP1L	1
E2F4	1
EFCAB7	1
EFHC1	1
EGFR	1
EHD1	1
EHD3	1
ENKUR	1
ENTR1	1
EVC	1
EVC2	1
EXOC3	1
EXOC4	1
EXOC5	1
EXOC6	1
EXOC6B	1
EZH2	1
FAM149B1	1
FAM161A	1
FAM183BP	1
CIBAR1	1
CIBAR2	1
FANK1	1
FBF1	1
FGFR3	1
FHDC1	1
FLCN	1
FLNA	1
FNBP1L	1
CEP20	1
FOXJ1	1
FOXN4	1
FSD1	1
FSIP2	1
FSTL1	1
FUZ	1
GALNT11	1
GALR2	1
GALR3	1
GAS2L2	1
GAS8	1
GLI1	1
GLI2	1
GLI3	1
GLIS2	1
GMNC	1
GNAT1	1
GNB1	1
GOLGB1	1
GPBAR1	1
GPR161	1
GPR173	1
GPR20	1
GPR22	1
GPR83	1
GPR88	1
GPSM1	1
GRK1	1
GRK2	1
GSK3B	1
HAP1	1
HAVCR1	1
HDAC6	1
HIF1A	1
HNF1B	1
HSD11B1	1
HSP90AA1	1
HSPA8	1
HSPB11	1
HTR6	1
HTT	1
HYDIN	1
HYLS1	1
IFT122	1
IFT140	1
IFT172	1
IFT20	1
IFT22	1
IFT27	1
IFT43	1
IFT46	1
IFT52	1
IFT57	1
IFT74	1
IFT80	1
IFT81	1
IFT88	1
IGF1	1
IGF1R	1
INPP5B	1
INPP5E	1
INTU	1
INVS	1
IQCB1	1
IQCE	1
IQCG	1
IRS1	1
JADE1	1
JAZF1	1
JHY	1
KATNAL1	1
KATNAL2	1
KCNF1	1
KCNH1	1
KCNJ10	1
KCNJ13	1
KCNQ1	1
KCTD10	1
KCTD17	1
KDM3A	1
KATNIP	1
KIAA0586	1
KIAA0753	1
KIAA1549	1
KIF13B	1
KIF14	1
KIF17	1
KIF19	1
KIF24	1
KIF27	1
KIF2A	1
KIF3A	1
KIF3B	1
KIF3C	1
KIF5B	1
KIF6	1
KIF7	1
KIFC1	1
KISS1R	1
KIZ	1
KLC1	1
LCA5	1
LIMA1	1
LIMK2	1
LRBA	1
LRRC23	1
LRRC34	1
LRRC45	1
LRRC56	1
DNAAF11	1
LRRK2	1
LUZP1	1
LZTFL1	1
MACF1	1
MAGI2	1
MAK	1
MAL	1
MAP1LC3A	1
