"Human Gene Name","Basal Body","Transition Zone","Cilia"
"5-HT6R",1,0,1
"ACTRT1",1,0,0
"ADAMTS9",0,0,1
"ADCY3",0,0,1
"AGBL2",1,0,0
"AGBL4",1,0,0
"AHI1",0,1,1
"AK1",0,0,1
"AK8",0,0,1
"AKAP14",0,0,1
"AKAP4",0,0,1
"AKT1",0,0,1
"ALDH1A1",0,0,1
"ALMS1",1,0,0
"AMBRA1",0,0,1
"ANKMY2",0,0,1
"ANKS6",0,0,1
"ANO2",0,0,1
"ANXA1",0,0,1
"APP",0,0,1
"ARL13B",0,0,1
"ARL2BP",1,0,0
"ARL3",0,0,1
"ARL6",1,1,0
"ARMC3",0,0,1
"ARMC4",0,0,1
"ATAT1",0,0,1
"ATG14",0,0,1
"ATG16L1",0,0,1
"ATG5",0,1,0
"ATG7",0,1,0
"ATXN10",0,0,1
"AURKA",1,0,0
"AZI1",0,0,1
"B9D1",0,1,0
"B9D2",0,1,0
"BBIP1",0,0,1
"BBS1",0,0,1
"BBS10",1,0,0
"BBS12",1,0,0
"BBS2",1,0,1
"BBS4",1,0,1
"BBS5",1,0,1
"BBS7",1,0,1
"BBS9",0,0,1
"BEST2",0,0,1
"BRWD1",0,0,1
"C10orf107",1,0,0
"C11orf63",0,0,1
"C11orf70",0,0,1
"C11orf88",0,0,1
"C1orf114",0,0,1
"C1orf173",0,0,1
"C20orf26",1,0,0
"C20orf85",0,0,1
"C21orf2",1,0,0
"C2CD3",1,0,0
"C2orf71",0,0,1
"C4orf22",0,0,1
"C5orf30",0,1,1
"C5orf42",0,0,1
"C5orf49",0,0,1
"C6orf165",0,0,1
"C7orf63",0,0,1
"C8orf37",1,0,0
"C9orf116",0,0,1
"C9orf117",1,0,0
"C9orf171",0,0,1
"C9orf24",0,0,1
"CABYR",0,0,1
"CASK",0,0,1
"CBY1",1,0,0
"CC2D2A",1,1,0
"CCDC103",0,0,1
"CCDC104",0,0,1
"CCDC113",0,0,1
"CCDC114",0,0,1
"CCDC13",1,0,0
"CCDC135",0,0,1
"CCDC146",0,0,1
"CCDC147",1,0,0
"CCDC151",1,0,1
"CCDC164",0,0,1
"CCDC17",1,0,1
"CCDC170",0,0,1
"CCDC173",0,0,1
"CCDC176",1,0,1
"CCDC33",0,0,1
"CCDC37",0,0,1
"CCDC39",0,0,1
"CCDC40",0,0,1
"CCDC41",0,0,1
"CCDC65",0,0,1
"CCDC88A",1,0,0
"CCL15-CCL14",0,0,1
"CCSAP",1,0,0
"CCT2",1,0,0
"CDH23",1,0,0
"CDHR1",0,0,1
"CDHR3",0,0,1
"CDKL1",0,1,0
"CENPF",1,0,1
"CEP104",0,0,1
"CEP120",1,0,0
"CEP164",0,0,1
"CEP19",1,0,0
"CEP290",0,1,0
"CEP41",1,0,1
"CEP83",0,0,1
"CEP97",1,0,0
"CERKL",0,0,1
"CETN2",1,0,0
"CETN3",1,0,0
"Cfap206",1,0,1
"CFAP221",0,0,1
"CFAP57",0,0,1
"Cfap58",1,0,0
"CFAP74",0,0,1
"CIB2",0,0,1
"CLDN2",0,0,1
"CLUAP1",0,0,1
"CNGA2",0,0,1
"CNGB1",0,0,0
"CRB3",0,0,1
"CROCC",1,0,0
"CSNK1D",1,0,0
"CTD-2373H9.6",0,0,0
"CTD-3148I10.1",0,0,0
"CTNNB1",1,0,0
"CYB5D1",0,0,1
"CYS1",0,0,1
"DAAM1",0,0,1
"DCDC2",0,0,1
"DDAH1",0,0,1
"DFNB31",0,0,1
"DIAPH1",1,0,0
"DIAPH2",1,0,0
"DIAPH3",1,0,0
"DISC1",0,0,1
"DLG5",1,0,0
"DMD",0,0,1
"DNAAF1",1,0,0
"DNAH1",0,0,1
"DNAH10",0,0,0
"DNAH11",0,0,1
"DNAH5",0,0,1
"DNAH9",0,0,1
"DNAI2",0,0,1
"DNAJB13",0,0,1
"DNALI1",0,0,1
"DPYSL2",1,0,0
"DRD1",0,0,1
"DSTN",0,0,1
"DYDC1",0,0,1
"DYNC2LI1",1,1,0
"DYNLL1",0,0,1
"DYNLT1",0,0,0
"DYRK2",1,1,0
"DYX1C1",0,0,1
"DZANK1",0,0,1
"DZIP1",1,0,0
"DZIP1L",1,1,0
"EFCAB7",0,0,1
"EFHC1",0,0,1
"EFHC2",0,0,1
"EHD1",0,0,1
"ELMOD2",1,0,0
"ELMOD3",0,0,1
"ENAH",0,0,1
"ENKD1",0,0,1
"ENKUR",0,0,1
"ERICH3",0,0,1
"EVC",1,0,1
"EVC2",1,0,1
"EXOC3",0,0,1
"EXOC4",0,0,1
"EXOC5",0,0,1
"EXOC6",0,0,1
"EZR",1,0,1
"FAM154A",1,0,1
"FAM154B",0,0,1
"FAM161A",1,0,0
"FAM179B",0,0,1
"FAM65B",0,0,1
"FAM92A1",1,0,0
"FAM92B",1,0,0
"FANK1",0,0,1
"FBF1",1,0,0
"FLCN",0,0,1
"FLNA",1,0,0
"FOPNL",1,0,0
"FOXJ1",0,0,1
"GABARAP",0,0,1
"GALR3",0,0,1
"GAS8",0,0,1
"GLI1",0,0,1
"GLI2",0,0,1
"GLI3",0,0,1
"GLIS2",0,0,1
"GNA11",0,0,1
"GNAQ",0,0,1
"GNAS",0,0,1
"GNAT1",1,0,0
"GPR157",0,0,1
"GPR161",0,0,1
"GPR83",0,0,1
"GPR98",0,1,0
"GRK1",0,0,1
"GRXCR1",0,0,1
"GSTA1",0,0,1
"GSTA2",0,0,1
"GSTM3",0,0,1
"GUCA1A",0,0,1
"GUCA1C",0,0,1
"GUCY2D",0,0,1
"HDAC6",1,0,0
"HIPK1",0,0,1
"HSP90AA1",0,0,1
"HSP90AB1",0,0,1
"HTR6",0,0,1
"HYAL3",0,0,1
"HYDIN",0,0,1
"HYLS1",1,0,0
"ICK",0,0,1
"IFT122",0,0,1
"IFT140",0,1,1
"IFT172",0,0,1
"IFT20",1,0,0
"IFT27",1,0,0
"IFT43",1,0,0
"IFT46",1,0,0
"IFT52",1,0,0
"IFT57",1,0,1
"IFT74",0,0,1
"IFT80",1,0,1
"IFT81",0,0,1
"IFT88",1,0,1
"IGF1",0,0,1
