"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Acrocallosal Syndrome","ACLS","200990","21552264",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Al-Gazali-Bakalinova Syndrome","AGBK","607131","22587682",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Alström Syndrome","ALMS","203800","17594715",7840,"ALMS1","606844","Basal Body","15855349","ALMS1;ALMS1;ENSG00000116127; ALSS"
"Ataxia-telangiectasia-like Disorder","ATLD1","604391","10612394, 11371508",4361,"MRE11","600814","Nucleoplasm","25613900","MRE11;MRE11;ENSG00000020922; ATLD; HNGS1; MRE11A; MRE11B"
"Ataxia-telangiectasia-like Disorder","ATLD2","615919","24911150",5111,"PCNA","176740","Nucleoplasm","25613900","PCNA;PCNA;ENSG00000132646; ATLD2"
"Autosomal Dominant Polycystic Kidney Disease","PKD1","173900","8004675",5310,"PKD1","601313","Cilia","12239239","PKD1;PKD1;ENSG00000008710; PBP; PC1; Pc-1; TRPP1"
"Autosomal Dominant Polycystic Kidney Disease","PKD2","613095","7825585, 11438989",5311,"PKD2","173910","Cilia","12239239, 12062067","PKD2;PKD2;ENSG00000118762; PC2; PKD4; Pc-2; APKD2; TRPP2"
"Autosomal Dominant Polycystic Kidney Disease","PKD3","600666","27259053",23193,"GANAB","104160","Endoplasmic reticulum","25613900","GANAB;GANAB;ENSG00000089597; G2AN; GIIA; PKD3; GLUII"
"Autosomal Dominant Polycystic Kidney Disease","PKD6","618061","29706351",51726,"DNAJB11","611341","Endoplasmic reticulum","25613900","DNAJB11;DNAJB11;ENSG00000090520; DJ9; EDJ; Dj-9; ERj3; PKD6; ABBP2; ERdj3; ERj3p; ABBP-2; UNQ537; PRO1080"
"Autosomal Recessive Polycystic Kidney Disease","PKD4","263200","15698423",5314,"PKHD1","606702","Basal Body","14983006","PKHD1;PKHD1;ENSG00000170927; FPC; FCYT; PKD4; ARPKD; TIGM1"
"Autosomal Recessive Polycystic Kidney Disease","PKD5","617610","28530676",199221,"DZIP1L","617570","Basal Body, Transition Zone","28530676","DZIP1L;DZIP1L;ENSG00000158163; PKD5; DZIP2"
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34890546",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34886911",55856,"ACOT13","615652","Cell Junctions","25613900","ACOT13;ACOT13;ENSG00000112304; HT012; THEM2; PNAS-27"
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34886911",5732,"PTGER2","176804","Not reported",NA,"PTGER2;PTGER2;ENSG00000125384; EP2"
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","31395617",79796,"ALG9","606941","Endoplasmic reticulum","25613900","ALG9;ALG9;ENSG00000086848; CDG1L; DIBD1; GIKANIS; LOH11CR1J"
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34521872",192668,"CYS1","618713","Cilia","19850956",NA
"Polycystic Kidney Disease","PKD","No MIM Number","33012205",2735,"GLI1","165220","Cilia","21209912","GLI1;GLI1;ENSG00000111087; GLI; PPD1; PAPA8"
"Polycystic Kidney Disease","PKD","No MIM Number","32841164",5373,"PMM2","601785","Nucleoplasm,Cytosol","25613900","PMM2;PMM2;ENSG00000140650; PMI; CDG1; CDGS; PMI1; CDG1a; PMM 2"
"Polycystic Kidney Disease","PKD","No MIM Number","34469896",2778,"GNAS","139320","Cilia","27308425","GNAS;GNAS;ENSG00000087460; AHO; GSA; GSP; POH; GPSA; NESP; SCG6; SgVI; GNAS1; PITA3; C20orf45"
"Polycystic Kidney Disease","PKD","No MIM Number","34469896",5298,"PI4KB","602758","Golgi apparatus","25613900","PI4KB;PI4KB;ENSG00000143393; NPIK; PI4K92; PIK4CB; PI4KIII; PI4KBETA; PI4K-BETA; PI4KIIIBETA"
"Polycystic Kidney Disease","PKD","No MIM Number","34548398",92104,"TTC30A","No MIM Number","Basal Body","20534810","TTC30A;TTC30A;ENSG00000197557; FAP259; IFT70A; TTC30B"
"Polycystic Kidney Disease","PKD","No MIM Number","21821671",6774,"STAT3","102582","Nucleoplasm,Cytosol","25613900","STAT3;STAT3;ENSG00000168610; APRF; HIES; ADMIO; ADMIO1"
"Bilateral Polycystic Kidney Disease","PKD","No MIM Number","32238723",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Infantile Polycystic Kidney Disease","PKD","No MIM Number","35076921",6928,"HNF1B","189907","Nucleoplasm,Vesicles","25613900","HNF1B;HNF1B;ENSG00000275410; T2D; FJHN; HNF2; LFB3; RCAD; TCF2; HPC11; LF-B3; MODY5; TCF-2; VHNF1; ADTKD3; HNF-1B; HNF1beta; HNF-1-beta"
"Bardet–Biedl Syndrome","BBS1","209900","9039982, 20177705",582,"BBS1","209901","Cilia","32759308","BBS1;BBS1;ENSG00000174483; BBS2L2"
