"Human Gene Name","Synonym"
"ABCA4","ABCA4;ABCA4;ENSG00000198691; FFM; RMP; ABCR; RP19; STGD; ABC10; ARMD2; CORD3; STGD1"
"ACOT13","ACOT13;ACOT13;ENSG00000112304; HT012; THEM2; PNAS-27"
"ACP5","ACP5;ACP5;ENSG00000102575; HPAP; TRAP; TRAcP; TRACP5a; TRACP5b; TrATPase"
"ACTRT1","ACTRT1;ACTRT1;ENSG00000123165; AIP1; ARIP1; ARPT1; HSD27"
"ACVR2B","ACVR2B;ACVR2B;ENSG00000114739; HTX4; ACTRIIB; ActR-IIB"
"ADAM9","ADAM9;ADAM9;ENSG00000168615; MCMP; MDC9; CORD9; Mltng"
"ADGRV1","ADGRV1;ADGRV1;ENSG00000164199; FEB4; GPR98; MASS1; USH2B; USH2C; VLGR1; VLGR1b"
"AFG3L2","AFG3L2;AFG3L2;ENSG00000141385; OPA12; SCA28; SPAX5"
"AGBL5","AGBL5;AGBL5;ENSG00000084693; CCP5; RP75"
"AHI1","AHI1;AHI1;ENSG00000135541; ORF1; AHI-1; JBTS3; dJ71N10.1"
"AHR","AHR;AHR;ENSG00000106546; RP85; bHLHe76"
"AIPL1","AIPL1;AIPL1;ENSG00000129221; LCA4; AIPL2"
"ALG9","ALG9;ALG9;ENSG00000086848; CDG1L; DIBD1; GIKANIS; LOH11CR1J"
"ALMS1","ALMS1;ALMS1;ENSG00000116127; ALSS"
"ANKRD11","ANKRD11;ANKRD11;ENSG00000167522; T13; LZ16; ANCO1; ANCO-1"
"ANKS6","ANKS6;ANKS6;ENSG00000165138; PKDR1; SAMD6; NPHP16; ANKRD14"
"ARHGEF18","ARHGEF18;ARHGEF18;ENSG00000104880; RP78; SA-RhoGEF; p114RhoGEF; P114-RhoGEF"
"ARL13B","ARL13B;ARL13B;ENSG00000169379; JBTS8; ARL2L1"
"ARL3","ARL3;ARL3;ENSG00000138175; RP83; ARFL3; JBTS35"
"ARL6","ARL6;ARL6;ENSG00000113966; BBS3; RP55"
"ARMC9","ARMC9;ARMC9;ENSG00000135931; ARM; NS21; JBTS30; KU-MEL-1"
"ARSG","ARSG;ARSG;ENSG00000141337; USH4"
"ATXN10","ATXN10;ATXN10;ENSG00000130638; E46L; ATX10; SCA10; HUMEEP"
"ATXN1","ATXN1;ATXN1;ENSG00000124788; ATX1; SCA1; D6S504E"
"ATXN2","ATXN2;ATXN2;ENSG00000204842; ATX2; SCA2; TNRC13"
"ATXN7","ATXN7;ATXN7;ENSG00000163635; SCA7; OPCA3; SGF73; ADCAII"
"B9D1","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1"
"B9D2","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2"
"BBIP1","BBIP1;BBIP1;ENSG00000214413; BBS18; BBIP10; bA348N5.3; NCRNA00081"
"BBS10","BBS10;BBS10;ENSG00000179941; C12orf58"
"BBS12","BBS12;BBS12;ENSG00000181004; C4orf24"
"BBS1","BBS1;BBS1;ENSG00000174483; BBS2L2"
"BBS2","BBS2;BBS2;ENSG00000125124; BBS; RP74"
"BBS7","BBS7;BBS7;ENSG00000138686; BBS2L1"
"BBS9","BBS9;BBS9;ENSG00000122507; B1; D1; C18; PTHB1"
"BEAN1","BEAN1;BEAN1;ENSG00000166546; BEAN; SCA31"
"BEST1","BEST1;BEST1;ENSG00000167995; ARB; BMD; BEST; RP50; VMD2; TU15B; Best1V1Delta2"
"BRCA2","BRCA2;BRCA2;ENSG00000139618; FAD; FACD; FAD1; GLM3; BRCC2; FANCD; PNCA2; FANCD1; XRCC11; BROVCA2"
"BRD4","BRD4;BRD4;ENSG00000141867; CAP; MCAP; HUNK1; HUNKI"
"BRWD1","BRWD1;BRWD1;ENSG00000185658; N143; WDR9; WRD9; DCAF19; C21orf107"
"C2CD3","C2CD3;C2CD3;ENSG00000168014; OFD14"
"CACNA1A","CACNA1A;CACNA1A;ENSG00000141837; BI; EA2; FHM; MHP; APCA; HPCA; MHP1; SCA6; DEE42; CAV2.1; EIEE42; CACNL1A4"
"CACNA1F","CACNA1F;CACNA1F;ENSG00000102001; JM8; OA2; AIED; COD3; COD4; JMC8; CORDX; CSNB2; CORDX3; CSNB2A; CSNBX2; Cav1.4; Cav1.4alpha1"
"CACNA1G","CACNA1G;CACNA1G;ENSG00000006283; NBR13; SCA42; Cav3.1; SCA42ND; Ca(V)T.1"
"CACNB4","CACNB4;CACNB4;ENSG00000182389; EA5; EJM; CAB4; EIG9; EJM4; EJM6; CACNLB4"
"CBY1","CBY1;CBY1;ENSG00000100211; CBY; arb1; PGEA1; C22orf2; Chibby1; PIGEA14; PIGEA-14; HS508I15A"
"CC2D1A","CC2D1A;CC2D1A;ENSG00000132024; Lgd2; MRT3; TAPE; Aki-1; FREUD-1; Freud-1/Aki1"
"CC2D2A","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"CCDC103","CCDC103;CCDC103;ENSG00000167131; SMH; PR46b; CILD17"
"CCDC39","CCDC39;CCDC39;ENSG00000284862; FAP59; CFAP59; CILD14"
"CCDC40","CCDC40;CCDC40;ENSG00000141519; CILD15; FAP172; CFAP172"
"CCDC65","CCDC65;CCDC65;ENSG00000139537; DRC2; FAP250; CFAP250; NYD-SP28"
"CCDC88C","CCDC88C;CCDC88C;ENSG00000015133; HYC1; DAPLE; HKRP2; SCA40; KIAA1509"
"CCNO","CCNO;CCNO;ENSG00000152669; CCNU; UDG2; CILD29"
"CCNQ","CCNQ;CCNQ;ENSG00000262919; CycM; FAM58A"
"CDH23","CDH23;CDH23;ENSG00000107736; PITA5; USH1D; CDHR23"
"CDHR1","CDHR1;CDHR1;ENSG00000148600; RP65; PRCAD; CORD15; PCDH21"
"CDON","CDON;CDON;ENSG00000064309; CDO; Ihog; CDON1; HPE11; ORCAM"
"CENPF","CENPF;CENPF;ENSG00000117724; CENF; hcp-1; CILD31; STROMS; PRO1779"
"CEP104","CEP104;CEP104;ENSG00000116198; GlyBP; ROC22; JBTS25; CFAP256; KIAA0562"
"CEP120","CEP120;CEP120;ENSG00000168944; JBTS31; SRTD13; CCDC100"
"CEP164","CEP164;CEP164;ENSG00000110274; NPHP15"
"CEP19","CEP19;CEP19;ENSG00000174007; MOSPGF; C3orf34"
