"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
3983,"ABLIM1","602330","22684256","ABLIM1;ABLIM1;ENSG00000099204; ABLIM; LIMAB1; LIMATIN; abLIM-1"
22885,"ABLIM3","611305","22684256","ABLIM3;ABLIM3;ENSG00000173210; HMFN1661"
10121,"ACTR1A","605143","30257893 *","ACTR1A;ACTR1A;ENSG00000138107; ARP1; Arp1A; CTRN1"
10097,"ACTR2","604221","20393563","ACTR2;ACTR2;ENSG00000138071; ARP2"
10096,"ACTR3","604222","20393563","ACTR3;ACTR3;ENSG00000115091; ARP3"
111,"ADCY5","600293","26092933","ADCY5;ADCY5;ENSG00000173175; AC5; FDFM; DSKOD"
112,"ADCY6","600294","26092933","ADCY6;ADCY6;ENSG00000174233; AC6; LCCS8"
79747,"ADGB","614630","33453283","ADGB;ADGB;ENSG00000118492; CAPN16; C6orf103"
156,"ADRBK1","109635","21695114, 22277298","GRK2;ADRBK1;ENSG00000173020; BARK1; ADRBK1; BETA-ARK1"
155465,"AGR3","609482","25751668","AGR3;AGR3;ENSG00000173467; AG3; AG-3; HAG3; hAG-3; BCMP11; PDIA18"
122481,"AK7","615364","18776131","AK7;AK7;ENSG00000140057; AK 7; FAP75; CFAP75; SPGF27"
10142,"AKAP9","604001","29516269, 29910809","AKAP9;AKAP9;ENSG00000127914; LQT11; PRKA9; AKAP-9; CG-NAP; YOTIAO; AKAP350; AKAP450; PPP1R45; HYPERION; MU-RMS-40.16A"
378,"ARF4","601177","31068062","ARF4;ARF4;ENSG00000168374; ARF2"
2909,"ARHGAP35","605277","32663194","ARHGAP35;ARHGAP35;ENSG00000160007; GRF-1; GRLF1; P190A; P190-A; p190RhoGAP; p190ARhoGAP"
50807,"ASAP1","605953","22983554","ASAP1;ASAP1;ENSG00000153317; PAP; PAG2; AMAP1; DDEF1; ZG14P; CENTB4"
4217,"ASK1","602448","32275885","MAP3K5;ASK1;ENSG00000197442; ASK1; MEKK5; MAPKKK5"
55054,"ATG16L1","610767","34057021","ATG16L1;ATG16L1;ENSG00000085978; IBD10; WDR30; APG16L; ATG16A; ATG16L"
64422,"ATG3","609606","24089205","ATG3;ATG3;ENSG00000144848; APG3; APG3L; PC3-96; APG3-LIKE"
23300,"ATMIN","614693","25294941","ATMIN;ATMIN;ENSG00000166454; ASCIZ; ZNF822"
9114,"ATP6V0D1","607028","21844891","ATP6V0D1;ATP6V0D1;ENSG00000159720; P39; VATX; VMA6; ATP6D; ATP6DV; VPATPD"
51382,"ATP6V1D","609398","21844891","ATP6V1D;ATP6V1D;ENSG00000100554; VATD; VMA8; ATP6M"
10677,"AVIL","613397","22178116","AVIL;AVIL;ENSG00000135407; p92; DOC6; ADVIL; NPHS21"
22994,"AZI1","613479","19254375","CEP131;AZI1;ENSG00000141577; AZ1; ZA1; AZI1"
119710,"C11orf74","619270","30476139","IFTAP;C11orf74;ENSG00000166352; NWC; HEPIS; C11orf74"
144535,"C12orf55","No MIM ID","26224312, 26224312","CFAP54;C12orf55;ENSG00000188596; C12orf55; C12orf63"
146562,"C16orf71","No MIM ID","33263282","DNAAF8;C16orf71;ENSG00000166246; C16orf71"
85452,"C1orf222","No MIM ID","32555313","CFAP74;C1orf222;ENSG00000142609; C1orf222; KIAA1751"
26074,"C20orf26","No MIM ID","10.1101/2021.03.04.433881","CFAP61;C20orf26;ENSG00000089101; CaM-IP3; C20orf26; dJ1002M8.3; dJ1178H5.4"
56683,"C21orf59","615494","24094744","CFAP298;C21orf59;ENSG00000159079; Kur; FBB18; CILD26; DNAAF16; C21orf48; C21orf59"
168090,"C6orf118","No MIM ID","34318869","C6orf118;C6orf118;ENSG00000112539; bA85G2.1; dJ416F21.2"
221322,"C6orf170","615867","24285566","TBC1D32;C6orf170;ENSG00000146350; BROMI; C6orf170; C6orf171"
