"gene_name","publication_number","year"
"KIF7",NA,2000
"ALMS1",NA,2000
"MRE11","37",2000
"PCNA","773",2000
"PKD1","42",2000
"PKD2","129",2000
"GANAB","193",2000
"DNAJB11","2",2000
"PKHD1","30",2000
"DZIP1L",NA,2000
"IFT140",NA,2000
"ACOT13",NA,2000
"PTGER2","16",2000
"ALG9",NA,2000
"CYS1","10",2000
"GLI1","25",2000
"PMM2","8",2000
"GNAS","12",2000
"PI4KB",NA,2000
"TTC30A",NA,2000
"STAT3","255",2000
"TTC21B",NA,2000
"HNF1B","62",2000
"BBS1","5",2000
"BBS2","2",2000
"ARL6","3",2000
"BBS4","2",2000
"BBS5",NA,2000
"MKKS","3",2000
"BBS7",NA,2000
"TTC8",NA,2000
"BBS9",NA,2000
"BBS10",NA,2000
"TRIM32",NA,2000
"BBS12",NA,2000
"MKS1","3",2000
"CEP290",NA,2000
"WDPCP",NA,2000
"SDCCAG8",NA,2000
"LZTFL1",NA,2000
"BBIP1",NA,2000
"IFT27",NA,2000
"IFT172",NA,2000
"C8orf37",NA,2000
"IFT74",NA,2000
"SCLT1",NA,2000
"ACTRT1",NA,2000
"TTC26",NA,2000
"FLCN",NA,2000
"RAB23",NA,2000
"MEGF8",NA,2000
"TMEM67",NA,2000
"CC2D2A",NA,2000
"RPGRIP1L",NA,2000
"TAPT1",NA,2000
"CRX","24",2000
"ABCA4","19",2000
"PDE6C",NA,2000
"PITPNM3",NA,2000
"GUCY2D","7",2000
"RIMS1","3",2000
"ADAM9","6",2000
"SEMA4A","2",2000
"RAX2",NA,2000
"PROM1","14",2000
"RPGRIP1","2",2000
"GUCA1A","5",2000
"CDHR1",NA,2000
"RAB28",NA,2000
"TTLL5",NA,2000
"POC1B",NA,2000
"DRAM2",NA,2000
"TLCD3B",NA,2000
"RPGR","15",2000
"CACNA1F","3",2000
"DYNC2I2",NA,2000
"GATA6","19",2000
"NIPBL",NA,2000
"SMC1A",NA,2000
"SMC3","5",2000
"RAD21","6",2000
"HDAC8","3",2000
"ANKRD11",NA,2000
"BRD4",NA,2000
"IFT122",NA,2000
"WDR35",NA,2000
"IFT43",NA,2000
"WDR19",NA,2000
"IFT52",NA,2000
"EVC","13",2000
"EVC2",NA,2000
"GLI3","25",2000
"SIX3","15",2000
"SHH","130",2000
"TGIF1","6",2000
"ZIC2","9",2000
"PTCH1","23",2000
"GLI2","16",2000
"CDON","2",2000
"CNOT1",NA,2000
"STAG2",NA,2000
"HYLS1",NA,2000
"INPP5E",NA,2000
"TMEM216",NA,2000
"AHI1",NA,2000
"NPHP1","7",2000
"ARL13B",NA,2000
"OFD1",NA,2000
"TCTN1",NA,2000
"TMEM237",NA,2000
"CEP41",NA,2000
"TMEM138",NA,2000
"CPLANE1",NA,2000
"TCTN3",NA,2000
"ZNF423",NA,2000
"TMEM231",NA,2000
"CSPP1",NA,2000
"PDE6D",NA,2000
"KIAA0586",NA,2000
"TCTN2",NA,2000
"CEP104",NA,2000
"KATNIP","2",2000
"B9D1",NA,2000
"TMEM107",NA,2000
"ARMC9",NA,2000
"CEP120",NA,2000
"SUFU","8",2000
"PIBF1",NA,2000
"B9D2",NA,2000
"ARL3","3",2000
"FAM149B1",NA,2000
"TOGARAM1",NA,2000
"KIAA0753",NA,2000
"TMEM218",NA,2000
"CBY1",NA,2000
"CC2D1A",NA,2000
"LRRCC1",NA,2000
"ADAMTS9",NA,2000
"LAMA1",NA,2000
"EFHC1",NA,2000
"GABRA1",NA,2000
"CACNB4",NA,2000
"GABRD",NA,2000
"CLCN2",NA,2000
"ICK","9",2000
"WDR11",NA,2000
"PNPLA6",NA,2000
"RPE65","16",2000
"SPATA7",NA,2000
"AIPL1","3",2000
"LCA5",NA,2000
"CRB1",NA,2000
"NMNAT1",NA,2000
"IMPDH1",NA,2000
"RD3","2",2000
"RDH12",NA,2000
"LRAT","9",2000
"TULP1","7",2000
"KCNJ13",NA,2000
"GDF6",NA,2000
"PRPH2","14",2000
"USP45","3",2000
"IQCB1",NA,2000
"OCRL","6",2000
"NPHP3",NA,2000
"KIF14",NA,2000
"CEP55",NA,2000
"TXNDC15",NA,2000
"PTCH2",NA,2000
"CTNNB1","295",2000
"BRCA2","257",2000
"ELP1","3",2000
"CEP19",NA,2000
"DCDC2",NA,2000
"INVS","4",2000
"NPHP4",NA,2000
"GLIS2",NA,2000
"NEK8",NA,2000
"CEP164",NA,2000
"ANKS6",NA,2000
"CEP83",NA,2000
"MAPKBP1",NA,2000
"XPNPEP3",NA,2000
"DDX59",NA,2000
"C2CD3",NA,2000
"INTU",NA,2000
"IFT57",NA,2000
"DNAI1",NA,2000
"DNAAF3",NA,2000
"DNAH5",NA,2000
"HYDIN","97",2000
"NME8",NA,2000
"DNAH11",NA,2000
"DNAI2",NA,2000
"DNAAF2",NA,2000
"RSPH4A",NA,2000
"RSPH9",NA,2000
"DNAAF1",NA,2000
"CCDC39",NA,2000
"CCDC40",NA,2000
"DNAL1",NA,2000
"CCDC103",NA,2000
"DNAAF5",NA,2000
"LRRC6",NA,2000
"ODAD1",NA,2000
"DRC1","3",2000
"ZMYND10",NA,2000
"ODAD2",NA,2000
"RSPH1",NA,2000
"DNAAF4",NA,2000
"CFAP298",NA,2000
"CCDC65",NA,2000
"SPAG1",NA,2000
"CCNO",NA,2000
"ODAD3",NA,2000
"RSPH3",NA,2000
"GAS8",NA,2000
"DNAJB13",NA,2000
"ODAD4",NA,2000
"DNAAF6",NA,2000
"DNAH1",NA,2000
"CFAP300",NA,2000
"LRRC56",NA,2000
"DNAH9",NA,2000
"GAS2L2",NA,2000
"MCIDAS",NA,2000
"FOXJ1","4",2000
"NEK10",NA,2000
"TTC12",NA,2000
"STK36",NA,2000
"TP73","55",2000
"NME5",NA,2000
"NME7",NA,2000
"IFT46",NA,2000
"CFAP57",NA,2000
"CFAP221",NA,2000
"SPEF2",NA,2000
"CFAP54",NA,2000
"CFAP206",NA,2000
"AKNA",NA,2000
"GOLGA3",NA,2000
"SPAG6",NA,2000
"USP11",NA,2000
"CRHR1","13",2000
"KRT34",NA,2000
"DNAH7",NA,2000
"DNAH14",NA,2000
"SPAG16",NA,2000
"DYNLRB2",NA,2000
"WDR16",NA,2000
"BRWD1",NA,2000
"CFAP74",NA,2000
"CFAP410",NA,2000
"RP1","21",2000
"RP2","22",2000
"RHO","1,147",2000
"ROM1","9",2000
"RP9","5",2000
"PRPF31",NA,2000
"EYS","3",2000
"CERKL",NA,2000
"NRL","58",2000
"FAM161A",NA,2000
"FSCN2","2",2000
"TOPORS",NA,2000
"CLCC1",NA,2000
"SNRNP200",NA,2000
"PRCD","3",2000
"NR2E3","5",2000
"MERTK","6",2000
"USH2A","9",2000
"PDE6B","12",2000
"KLHL7",NA,2000
"PDE6A","4",2000
"RGR","20",2000
"CNGB1","2",2000
"IDH3B",NA,2000
"SAG","70",2000
"GUCA1B","4",2000
"CNGA1",NA,2000
"BEST1","7",2000
"PCARE","48,300",2000
"IMPG2","2",2000
"PDE6G",NA,2000
"ZNF513",NA,2000
"DHDDS","59",2000
"PRPF6","2",2000
"CLRN1",NA,2000
"MAK","163",2000
"RBP3",NA,2000
"NEK2","6",2000
"SLC7A14",NA,2000
"KIZ","3",2000
"PRPF4",NA,2000
"ZNF408",NA,2000
"HGSNAT",NA,2000
"AGBL5",NA,2000
"POMGNT1","2",2000
"REEP6",NA,2000
"ARHGEF18",NA,2000
"HK1","14",2000
"DHX38","2",2000
"AHR","258",2000
"KIAA1549",NA,2000
"RP1L1",NA,2000
"KIF3B",NA,2000
"IDH3A",NA,2000
"IMPG1","2",2000
"CFAP20",NA,2000
"TRAF3IP1",NA,2000
"POC1A",NA,2000
"IFT80",NA,2000
"DYNC2H1",NA,2000
"NEK1","3",2000
"DYNC2I1",NA,2000
"DYNC2LI1",NA,2000
"DYNLT2B",NA,2000
"IFT81",NA,2000
"GRK2","41",2000
"DHCR7","9",2000
"GPC3","5",2000
"ATXN1","18",2000
"ATXN2",NA,2000
"SPTBN2",NA,2000
"CACNA1A","17",2000
"ATXN7","10",2000
"ATXN8",NA,2000
"ATXN10",NA,2000
"TTBK2",NA,2000
"PPP2R2B",NA,2000
"KCNC3",NA,2000
"PRKCG","26",2000
"ITPR1","51",2000
"TBP","142",2000
"KCND3","16",2000
"TMEM240",NA,2000
"PDYN","4",2000
"eEF2","8",2000
"FGF14","2",2000
"AFG3L2",NA,2000
"BEAN1",NA,2000
"ELOVL4",NA,2000
"TGM6",NA,2000
"NOP56","3",2000
"DAB1","21",2000
"ELOVL5",NA,2000
"CCDC88C",NA,2000
"TRPC3","8",2000
"CACNA1G","5",2000
"MME","17",2000
"GRM1",NA,2000
"FAT2",NA,2000
"PLD3",NA,2000
"PUM1",NA,2000
"STUB1",NA,2000
"TDP1",NA,2000
"Setx",NA,2000
"COA7",NA,2000
"FN1","4",2000
"TRPV4",NA,2000
"PAM16",NA,2000
"PRKG2","2",2000
"GPX4","21",2000
"ACP5","14",2000
"CCNQ","32",2000
"CENPF","6",2000
"SALL1","9",2000
"LUZP1",NA,2000
"MYO7A","11",2000
"USH1C","4",2000
"CDH23",NA,2000
"PCDH15",NA,2000
"USH1G",NA,2000
"CIB2",NA,2000
"ADGRV1",NA,2000
"PDZD7",NA,2000
"WHRN",NA,2000
"HARS1",NA,2000
"ARSG",NA,2000
"ZIC3","9",2000
"CFC1","3",2000
"SESN1",NA,2000
"ACVR2B",NA,2000
"NODAL","1,004",2000
"CFAP53",NA,2000
"MMP21",NA,2000
"PKD1L1",NA,2000
"MNS1",NA,2000
"CFAP52",NA,2000
"CFAP45",NA,2000
"FCYT",NA,2000
"ALG5",NA,2000
"RNU4ATAC",NA,2000
"KIF7",NA,2001
"ALMS1",NA,2001
"MRE11","57",2001
"PCNA","807",2001
"PKD1","36",2001
"PKD2","122",2001
"GANAB","209",2001
"DNAJB11",NA,2001
"PKHD1","30",2001
"DZIP1L",NA,2001
"IFT140",NA,2001
"ACOT13",NA,2001
"PTGER2","29",2001
"ALG9","2",2001
"CYS1","10",2001
"GLI1","28",2001
"PMM2","9",2001
"GNAS","9",2001
"PI4KB",NA,2001
"TTC30A",NA,2001
"STAT3","299",2001
"TTC21B",NA,2001
"HNF1B","69",2001
"BBS1","2",2001
"BBS2","7",2001
"ARL6",NA,2001
"BBS4","3",2001
"BBS5","2",2001
"MKKS","7",2001
"BBS7",NA,2001
"TTC8",NA,2001
"BBS9",NA,2001
"BBS10",NA,2001
"TRIM32",NA,2001
"BBS12",NA,2001
"MKS1",NA,2001
"CEP290",NA,2001
"WDPCP",NA,2001
"SDCCAG8",NA,2001
"LZTFL1",NA,2001
"BBIP1",NA,2001
"IFT27",NA,2001
"IFT172",NA,2001
"C8orf37",NA,2001
"IFT74",NA,2001
"SCLT1",NA,2001
"ACTRT1",NA,2001
"TTC26",NA,2001
"FLCN",NA,2001
"RAB23","3",2001
"MEGF8",NA,2001
"TMEM67",NA,2001
"CC2D2A",NA,2001
"RPGRIP1L",NA,2001
"TAPT1",NA,2001
"CRX","25",2001
"ABCA4","18",2001
"PDE6C",NA,2001
"PITPNM3",NA,2001
"GUCY2D","2",2001
"RIMS1","4",2001
"ADAM9","7",2001
"SEMA4A",NA,2001
"RAX2",NA,2001
"PROM1","16",2001
"RPGRIP1","2",2001
"GUCA1A","5",2001
"CDHR1",NA,2001
"RAB28",NA,2001
"TTLL5",NA,2001
"POC1B",NA,2001
"DRAM2",NA,2001
"TLCD3B",NA,2001
"RPGR","13",2001
"CACNA1F","4",2001
"DYNC2I2",NA,2001
"GATA6","24",2001
"NIPBL",NA,2001
"SMC1A",NA,2001
"SMC3","6",2001
"RAD21","13",2001
"HDAC8","2",2001
"ANKRD11",NA,2001
"BRD4","2",2001
"IFT122",NA,2001
"WDR35",NA,2001
"IFT43",NA,2001
"WDR19",NA,2001
"IFT52","2",2001
"EVC","2",2001
"EVC2",NA,2001
"GLI3","15",2001
"SIX3","16",2001
"SHH","138",2001
"TGIF1","5",2001
"ZIC2","10",2001
"PTCH1","29",2001
"GLI2","15",2001
"CDON",NA,2001
"CNOT1",NA,2001
"STAG2",NA,2001
"HYLS1",NA,2001
"INPP5E",NA,2001
"TMEM216",NA,2001
"AHI1",NA,2001
"NPHP1","7",2001
"ARL13B",NA,2001
