"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym","synonym"
"Acrocallosal Syndrome","ACLS","200990","21552264",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340","HALLUX DUPLICATION, POSTAXIAL POLYDACTYLY, AND ABSENCE OF CORPUS CALLOSUM SCHINZEL ACROCALLOSAL SYNDROME;JOUBERT SYNDROME 12, INCLUDED; JBTS12, INCLUDED JOUBERT SYNDROME 12/15, DIGENIC, INCLUDED"
"Al-Gazali-Bakalinova Syndrome","AGBK","607131","22587682",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340","MACROCEPHALY WITH MULTIPLE EPIPHYSEAL DYSPLASIA AND DISTINCTIVE FACIES; MMEDF;"
"Alström Syndrome","ALMS","203800","17594715",7840,"ALMS1","606844","Basal Body","15855349","ALMS1;ALMS1;ENSG00000116127; ALSS","ALSS;"
"Autosomal Dominant Polycystic Kidney Disease","PKD1","173900","8004675",5310,"PKD1","601313","Cilia","12239239","PKD1;PKD1;ENSG00000008710; PBP; PC1; Pc-1; TRPP1","POLYCYSTIC KIDNEY DISEASE, ADULT; ADPKD POLYCYSTIC KIDNEY DISEASE, ADULT, TYPE I; APKD1 POTTER TYPE III POLYCYSTIC KIDNEY DISEASE, FORMERLY;"
"Autosomal Dominant Polycystic Kidney Disease","PKD2","613095","7825585, 11438989",5311,"PKD2","173910","Cilia","12239239, 12062067","PKD2;PKD2;ENSG00000118762; PC2; PKD4; Pc-2; APKD2; TRPP2","POLYCYSTIC KIDNEY DISEASE, ADULT, TYPE II; APKD2;"
"Autosomal Dominant Polycystic Kidney Disease","PKD3","600666","27259053",23193,"GANAB","104160","Endoplasmic reticulum","25613900","GANAB;GANAB;ENSG00000089597; G2AN; GIIA; PKD3; GLUII","POLYCYSTIC KIDNEY DISEASE, ADULT, TYPE III; APKD3;"
"Autosomal Dominant Polycystic Kidney Disease","PKD6","618061","29706351",51726,"DNAJB11","611341","Endoplasmic reticulum","25613900","DNAJB11;DNAJB11;ENSG00000090520; DJ9; EDJ; Dj-9; ERj3; PKD6; ABBP2; ERdj3; ERj3p; ABBP-2; UNQ537; PRO1080",NA
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34890546",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1",NA
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34886911",55856,"ACOT13","615652","Cell Junctions","25613900","ACOT13;ACOT13;ENSG00000112304; HT012; THEM2; PNAS-27",NA
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","31395617",79796,"ALG9","606941","Endoplasmic reticulum","25613900","ALG9;ALG9;ENSG00000086848; CDG1L; DIBD1; GIKANIS; LOH11CR1J",NA
"Autosomal Dominant Polycystic Kidney Disease","PKD","No MIM Number","34521872",192668,"CYS1","618713","Cilia","19850956",NA,NA
